GL Code,Category,Combined Allowed,Description,Height Limit (ft),Max Stories,Notes,Prohibited With,Residential Only,Subcategory
44433,,No,Health Care Facilities--Homes for the Physically Handicapped or Orphaned--Other Than Not-For-Profit,,,,,No,
44434,,No,Health Care Facilities--Homes for the Physically Handicapped or Orphaned--Not-For-Profit Only,,,,,No,
44435,,No,Health Care Facilities--Hospitals Other Than Not-For-Profit,,,,,No,
44436,,No,Health Care Facilities--Hospitals Not-For-Profit Only,,,,,No,
44437,,No,Health Care Facilities--Mental--Psychopathic Institutions--Other Than Not-For-Profit,,,,,No,
44438,,No,Health Care Facilities--Mental--Psychopathic Institutions--Not-For-Profit Only,,,,,No,
44439,,No,"Health Care Facilities--Clinics, Dispensaries or Infirmaries Treating Outpatients Only--No Regular Bed and Board Facilities--Other Than Not-For-Profit",,,,,No,
44440,,No,"Health Care Facilities--Clinics, Dispensaries or Infirmaries Treating Outpatients Only--No Regular Bed and Board Facilities--Not-For-Profit Only",,,,,No,
44500,,No,Home Health Care Services--Not-For-Profit Only,,,,,No,
44501,,No,Home Health Care Services--Other Than Not-For-Profit,,,,,No,
45190,,No,Hotels and Motels--with Pools or Beaches--Less Than Four Stories,,,,,No,
45191,,No,Hotels and Motels--with Pools or Beaches--Four Stories or More,,,,,No,
45192,,No,Hotels and Motels--without Pools or Beaches--Less Than Four Stories,,,,,No,
45193,,No,Hotels and Motels--without Pools or Beaches--Four Stories or More,,,,,No,
45210,,No,Bed and Breakfasts,,,,,No,
45224,,No,Hunting Preserves--Other Than Not-For-Profit,,,,,No,
45225,,No,Hunting Preserves--Not-For-Profit Only,,,,,No,
45334,,No,Insurance Agents,,,,,No,
45380,,No,Junk Dealers,,,,,No,
45450,,No,"Kennels--Breeding, Boarding or Sales",,,,,No,
45523,,No,Lakes or Reservoirs--Existence Hazard Only--Other Than Not-For-Profit,,,,,No,
45524,,No,Lakes or Reservoirs--Existence Hazard Only--Not-For-Profit Only,,,,,No,
45539,,No,Land--Occupied by Persons Other Than the Insured for Business Purposes--(Lessor's Risk Only),,,,,No,
45678,,No,Laundries and Dry Cleaning Plants,,,,,No,
45771,,No,Livestock Sales Companies,,,,,No,
45819,,No,Lumberyards,,,,,No,
45900,,No,Mail Order or Online Drug Stores,,,,,No,
45901,,No,Mail Order Houses,,,,,No,
45937,,No,Mailing or Addressing Companies,,,,,No,
45993,,No,Manufacturers' Representatives,,,,,No,
46004,,No,Mausoleums--Other Than Not-For-Profit,,,,,No,
46005,,No,Mausoleums--Not-For-Profit Only,,,,,No,
46112,,No,Diagnostic Testing Laboratories,,,,,No,
46202,,No,Mobile Home Parks or Courts,,,,,No,
46362,,No,Model Homes,,,,,No,
46426,,No,Museums--Other Than Not-For-Profit,,,,,No,
46427,,No,Museums--Not-For-Profit Only,,,,,No,
46510,,No,Oil or Gas Wells--Non-Operating Working Interest,,,,,No,
46590,,No,Parades,,,,,No,
46603,,No,Parking--Public--Not Open Air,,,,,No,
46604,,No,Parking--Public--Open Air,,,,,No,
46606,,No,Parking--Public--Shopping Centers--Maintained by Lessee (Lessor's Risk Only),,,,,No,
46607,,No,Parking--Public--Shopping Centers--Maintained by the Insured (Lessor's Risk Only),,,,,No,
46622,,No,Parking--Private,,,,,No,
46671,,No,Parks or Playgrounds,,,,,No,
46700,,No,Penal Institutions,,,,,No,
46773,,No,Picnic Grounds--Commercially Operated,,,,,No,
46822,,No,Political Campaign Headquarters or Offices,,,,,No,
46881,,No,Professional and Trade Associations--No Buildings or Premises Owned or Leased Except as Offices--Other Than Not-For-Profit,,,,,No,
46882,,No,Professional and Trade Associations--No Buildings or Premises Owned or Leased Except as Offices--Not-For-Profit Only,,,,,No,
46911,,No,Race Tracks--Motorized Vehicles--Operators,,,,,No,
46912,,No,Race Tracks--Operators,,,,,No,
46913,,No,Race Tracks--Motorized Vehicles--Lessor's Risk Only,,,,,No,
46914,,No,Racing--Lessor's Risk Only,,,,,No,
46915,,No,Race Tracks--Motorized Vehicles--Sponsor's Risk Only,,,,,No,
46916,,No,Racing--Sponsor's Risk Only,,,,,No,
47050,,No,Real Estate Agents,,,,,No,
47051,,No,Real Estate Development Property,,,,,No,
47052,,No,Real Estate Property Managed,,,,,No,
47103,,No,Recording Studios,,,,,No,
47146,,No,Recycling Collection Centers--Other Than Not-For-Profit,,,,,No,
47147,,No,Recycling Collection Centers--Not-For-Profit Only,,,,,No,
47221,,No,Riding Academies,,,,,No,
47253,,No,Rifle or Pistol Ranges--Indoor,,,,,No,
47254,,No,Rifle or Pistol Ranges,,,,,No,
47318,,No,Rodeos,,,,,No,
47367,,No,Sales or Service Organizations,,,,,No,
47420,,No,Saunas and Baths--Public,,,,,No,
47468,,No,Schools--Correspondence,,,,,No,
47469,,No,Schools--Faculty Liability for Corporal Punishment of Students,,,,,No,
47471,,No,"Schools--Public--Elementary, Kindergarten or Junior High",,,,,No,
47473,,No,Schools--Public--High,,,,,No,
47474,,No,Schools--Trade or Vocational,,,,,No,
47475,,No,"Schools--Private--Elementary, Kindergarten or Junior High--Other Than Not-For-Profit",,,,,No,
47476,,No,"Schools--Private--Elementary, Kindergarten or Junior High--Not-For-Profit Only",,,,,No,
47477,,No,Schools--Private--High--Other Than Not-For-Profit,,,,,No,
47478,,No,Schools--Private--High--Not-For-Profit Only,,,,,No,
47610,,No,Internet Service Providers,,,,,No,
48039,,No,Sewers,,,,,No,
48177,,No,Skating Rinks--Ice,,,,,No,
48178,,No,Skating Rinks--Roller,,,,,No,
48206,,No,Skeet Shooting or Trap Shooting Ranges,,,,,No,
48252,,No,"Ski Lifts, Tows or Runs",,,,,No,
48441,,No,Soap Box Derbies,,,,,No,
48557,,No,Social Gatherings and Meetings--on Premises Not Owned or Operated by the Insured--Other Than Not-For-Profit,,,,,No,
48558,,No,Social Gatherings and Meetings--on Premises Not Owned or Operated by the Insured--Not-For-Profit Only,,,,,No,
48600,,No,Social Services--Consulting Services Only--Operated by the Private Sector,,,,,No,
48610,,No,Sports or Outdoor Activities--Commercially Operated,,,,,No,
48636,,No,Stockyards,,,,,No,
48637,,No,Stadiums--Operated by Insured--Other Than Not-For-Profit,,,,,No,
48638,,No,Stadiums--Operated by Insured--Not-For-Profit Only,,,,,No,
48727,,No,"Streets, Roads, Highways or Bridges--Existence and Maintenance Hazard Only",,,,,No,
48808,,No,Sun Tanning Salons,,,,,No,
48924,,No,Swimming Pools--Commercially Operated,,,,,No,
48925,,No,Swimming Pools,,,,,No,
49005,,No,Taxidermists,,,,,No,
49111,,No,Tents or Canopies--Loaned or Rented to Others,,,,,No,
49181,,No,Theaters--Drive-In,,,,,No,
49183,,No,Theaters--Motion Pictures,,,,,No,
49184,,No,Theaters--Other Than Not-For-Profit Only,,,,,No,
49185,,No,Theaters--Not-For-Profit Only,,,,,No,
49239,,No,Tire--Retreading or Recapping,,,,,No,
49292,,No,Toll Bridges,,,,,No,
49305,,No,Towers--Telecommunication--Existence Hazard Only (Lessors Risk Only),,,,,No,
49333,,No,Travel Agency Tours,,,,,No,
49451,,No,Vacant Land--Other Than Not-For-Profit,,,,,No,
49452,,No,Vacant Land--Not-For-Profit Only,,,,,No,
49617,,No,"Vending Machine Operations--Confection, Food, Beverage or Ice",,,,,No,
49618,,No,Vending Machine Operations--Tobacco Products,,,,,No,
49619,,No,Vending Machine Operations,,,,,No,
49763,,No,Warehouse--Cold Individual Storage Lockers,,,,,No,
49800,,No,Wharf and Waterfront Property--Ferry Docks or Terminals,,,,,No,
49801,,No,Wharf and Waterfront Property--Occupied by the Insured for Both Freight and Passenger Purposes,,,,,No,
49802,,No,Wharf and Waterfront Property--Not Occupied by the Insured (Lessor's Risk Only),,,,,No,
49803,,No,Wharf and Waterfront Property--Occupied by the Insured for Freight Purposes Exclusively,,,,,No,
49840,,No,Window Decorating,,,,,No,
49870,,No,"YMCA, YWCA or Similar Institutions",,,,,No,
49890,,No,Youth Recreation Programs--Other Than Not-For-Profit,,,,,No,
49891,,No,Youth Recreation Programs--Not-For-Profit Only,,,,,No,
49902,,No,Zoos--Other Than Not-For-Profit,,,,,No,
49903,,No,Zoos--Not-For-Profit Only,,,,,No,
50010,,No,Abrasive Wheel Mfg.,,,,,No,
50015,,No,Abrasives or Abrasive Products Mfg.--Artificial,,,,,No,
50017,,No,Abrasives or Abrasive Products Mfg.,,,,,No,
50045,,No,Adhesive Mfg.,,,,,No,
50047,,No,Adhesive Tape Mfg.,,,,,No,
51001,,No,Aerosol Container Mfg.,,,,,No,
51005,,No,Aerosol Containers--Filling or Charging for Others,,,,,No,
51116,,No,Air Conditioning Equipment Mfg.,,,,,No,
51201,,No,Aircraft or Aircraft Parts Mfg.,,,,,No,
51205,,No,Alarm Mfg.--Burglar,,,,,No,
51206,,No,Alarm Mfg.--Fire or Smoke,,,,,No,
51210,,No,Alcohol Mfg.--Not Beverage,,,,,No,
51211,,No,Ammunition Mfg.,,,,,No,
51220,,No,Appliances and Accessories Mfg.--Commercial--Gas,,,,,No,
51221,,No,Appliances and Accessories Mfg.--Commercial--Not Gas,,,,,No,
51222,,No,Appliances and Accessories Mfg.--Household--Gas,,,,,No,
51224,,No,Appliances and Accessories Mfg.--Household--Not Gas,,,,,No,
51230,,No,Asbestos Goods Mfg.,,,,,No,
51240,,No,Asphalt or Tar Distilling or Refining,,,,,No,
51241,,No,Asphalt Works,,,,,No,
51250,,No,"Automobile, Bus and Truck Body Mfg.",,,,,No,
51251,,No,"Automobile, Bus or Truck Parts Mfg.--Brakes or Brake Linings",,,,,No,
51252,,No,"Automobile, Bus or Truck Parts Mfg.--Not Operating Parts",,,,,No,
51253,,No,"Automobile, Bus or Truck Parts Mfg.--Operating Parts",,,,,No,
51254,,No,"Automobile, Bus or Truck Parts Mfg.--Passenger Restraining Devices",,,,,No,
51255,,No,Automobile Mfg. or Assembling,,,,,No,
51305,,No,Baby Food Mfg.,,,,,No,
51315,,No,Bakery Plants,,,,,No,
51330,,No,Battery Mfg.--Dry Cell,,,,,No,
51333,,No,Battery Mfg.--Wet Cell or Storage,,,,,No,
51340,,No,Bearing Mfg.,,,,,No,
51350,,No,"Beer, Ale or Malt Liquor Mfg.--In Bottles",,,,,No,
51351,,No,"Beer, Ale or Malt Liquor Mfg.--In Cans",,,,,No,
51352,,No,"Beer, Ale or Malt Liquor Mfg.--Not Bottled or Canned",,,,,No,
51355,,No,Beverage Bottler--Soft Drinks--Carbonated--In Cans or Plastic Bottles,,,,,No,
51356,,No,Beverage Bottler--Soft Drinks--Carbonated--In Glass Bottles,,,,,No,
51357,,No,Beverage Bottler--Soft Drinks--In Metal Cylinders,,,,,No,
51358,,No,Beverage Bottler--Soft Drinks--In Paper Containers,,,,,No,
51359,,No,Beverage Bottler--Soft Drinks--Not Carbonated--In Bottles or Cans,,,,,No,
51370,,No,Bicycle Mfg.--Not Motorized,,,,,No,
51380,,No,Billiard or Pool Table Mfg.,,,,,No,
51400,,No,Boat or Ship Building--Inboard and Inboard/Outboard,,,,,No,
51401,,No,Boat or Ship Building--without Motors,,,,,No,
51500,,No,"Bolt, Nut, Rivet, Screw or Washer Mfg.",,,,,No,
51516,,No,Bookbinding--Other Than Not-For-Profit,,,,,No,
51517,,No,Bookbinding--Not-For-Profit Only,,,,,No,
51550,,No,Bottle and Jar Mfg.--Glass--Not for Use under Pressure,,,,,No,
51551,,No,Bottle and Jar Mfg.--Glass--for Use under Pressure--Nonreturnable,,,,,No,
51552,,No,Bottle and Jar Mfg.--Glass--for Use under Pressure--Returnable,,,,,No,
51553,,No,Bottle and Jar Mfg.--Plastic--Nonreturnable,,,,,No,
51554,,No,Bottle and Jar Mfg.--Plastic--Returnable,,,,,No,
51575,,No,Boxes or Containers Mfg.--Corrugated or Fiberboard,,,,,No,
51576,,No,Boxes or Containers Mfg.--Wood,,,,,No,
51600,,No,Brick Mfg.,,,,,No,
51613,,No,Brush or Broom Mfg.,,,,,No,
51625,,No,Bus Mfg. or Assembling or Reconstruction,,,,,No,
51666,,No,Buttons or Fasteners Mfg.,,,,,No,
51702,,No,Camper Bodies or Camper Trailers Mfg.,,,,,No,
51703,,No,Campers Mfg.--Self-Powered,,,,,No,
51734,,No,Can Mfg.--Metal,,,,,No,
51741,,No,Candle Mfg.,,,,,No,
51752,,No,Candy or Confectionery Products Mfg.,,,,,No,
51767,,No,Carbon Paper or Inked Ribbon Mfg.,,,,,No,
51777,,No,Carpet or Rug Mfg.,,,,,No,
51790,,No,"Caulking Compounds, Putty or Similar Products Mfg.",,,,,No,
51796,,No,Cellophane and Cellophane Products Mfg.,,,,,No,
51808,,No,"Cement, Concrete Mix or Plaster Mfg.--Packaged",,,,,No,
51809,,No,Cement or Plaster Mfg.--Bulk,,,,,No,
51833,,No,Charcoal or Coal Briquette Mfg.,,,,,No,
51850,,No,Chemical Mfg.--Commercial or Industrial,,,,,No,
51851,,No,"Chemical Mfg.--Commercial or Industrial--Toxic and Either Flammable, Explosive or Reactive",,,,,No,
51852,,No,"Chemical Mfg.--Commercial or Industrial--Primarily Flammable, Explosive or Reactive",,,,,No,
51853,,No,Chemical Mfg.--Commercial or Industrial--Primarily Toxic or Presenting a Health Hazard,,,,,No,
51854,,No,"Chemical Mfg.--Household--Toxic and Either Flammable, Explosive or Reactive",,,,,No,
51855,,No,Chemical Mfg.--Household,,,,,No,
51856,,No,"Chemical Mfg.--Household--Primarily Flammable, Explosive or Reactive",,,,,No,
51857,,No,Chemical Mfg.--Household--Primarily Toxic or Presenting a Health Hazard,,,,,No,
51869,,No,"China, Porcelain or Earthenware Mfg.",,,,,No,
51877,,No,Clay Products Mfg.,,,,,No,
51889,,No,Clock Mfg.,,,,,No,
51896,,No,Clothing Mfg.,,,,,No,
51900,,No,Coffins or Caskets Mfg.,,,,,No,
51909,,No,Coke Mfg.,,,,,No,
51919,,No,Color or Pigment Preparation,,,,,No,
51926,,No,Communication or Recording Systems or Equipment Mfg.--Industrial or Commercial,,,,,No,
51927,,No,Communication or Recording Systems or Equipment Mfg.--Other Than Industrial or Commercial,,,,,No,
51934,,No,Composition Goods Mfg.--Not Floor Coverings,,,,,No,
51941,,No,Computer Mfg.,,,,,No,
51942,,No,Computer Software Mfg.--Pre-Packaged,,,,,No,
51956,,No,Concrete--Mixed in Transit,,,,,No,
51957,,No,Concrete or Plaster Products Mfg.--Not Structural,,,,,No,
51958,,No,Concrete Products Mfg.--Prestressed,,,,,No,
51959,,No,Concrete Products Mfg.--Structural,,,,,No,
51960,,No,Contact Lenses Mfg.,,,,,No,
51970,,No,Cosmetics Mfg.,,,,,No,
51982,,No,"Cotton Batting, Wadding or Waste Mfg.",,,,,No,
51985,,No,Cotton Compressing,,,,,No,
51986,,No,Cotton Gin Operations,,,,,No,
51999,,No,Cutlery (Not Powered) and Flatware Mfg.,,,,,No,
52002,,No,Dairy Products Mfg.,,,,,No,
52075,,No,Detergent Mfg.--Household,,,,,No,
52076,,No,Detergent Mfg.--Other Than Household,,,,,No,
52109,,No,Dextrine Mfg.,,,,,No,
52134,,No,Door or Window Mfg.--Other Than Wood,,,,,No,
52137,,No,Die Casting Mfg.,,,,,No,
52150,,No,Distillation or Extraction,,,,,No,
52315,,No,Door or Window Mfg.--Wood,,,,,No,
52341,,No,Drug Mfg.--Biological Products,,,,,No,
52342,,No,"Drug, Medicine or Pharmaceutical Preparations Mfg.--for Animal Use",,,,,No,
52343,,No,"Drug, Medicine or Pharmaceutical Preparations Mfg.--Other Than for Animal Use",,,,,No,
52401,,No,Drums or Containers Mfg.--Metal,,,,,No,
52402,,No,Drums or Containers Mfg.--Plastic,,,,,No,
52432,,No,Electrical Equipment Mfg.--Other Than for Direct and Indirect Application to the Body,,,,,No,
52433,,No,Electrical Equipment Mfg.--for Direct and Indirect Application to the Body,,,,,No,
52435,,No,Electrical Generating Machinery Mfg.,,,,,No,
52438,,No,"Electrical Parts, Components or Accessories Mfg.",,,,,No,
52440,,No,Electrical Power Distribution or Transmission Equipment Mfg.,,,,,No,
52467,,No,Electrical Wire or Cable Mfg.,,,,,No,
52469,,No,Electronic Components Mfg.,,,,,No,
52505,,No,Electronic Games Mfg.,,,,,No,
52547,,No,Electroplating,,,,,No,
52581,,No,Elevator Mfg.,,,,,No,
52619,,No,Engine or Turbine Mfg.--Not Aircraft,,,,,No,
52660,,No,Engraving,,,,,No,
52744,,No,Escalator or Moving Sidewalk Mfg.,,,,,No,
52767,,No,Exercise or Playground Equipment Mfg.,,,,,No,
52876,,No,Explosive or Fireworks Mfg.,,,,,No,
52911,,No,Extracts Mfg.,,,,,No,
52967,,No,Eye Glass Lens Mfg.,,,,,No,
53001,,No,Feed Mfg.,,,,,No,
53077,,No,Fertilizer Mfg.,,,,,No,
53095,,No,Fiber Mfg.--Other Than Synthetic,,,,,No,
53096,,No,Fiber Mfg.--Synthetic,,,,,No,
53121,,No,Fiberglass Mfg.,,,,,No,
53147,,No,Fire Extinguishers Mfg.,,,,,No,
53229,,No,Fire Suppression Systems Mfg.,,,,,No,
53271,,No,Firearms Mfg.,,,,,No,
53333,,No,"Floor Covering Mfg.--Not Carpets, Rugs, Ceramic or Stone Tiles",,,,,No,
53374,,No,Food Products Mfg.--Dry,,,,,No,
53375,,No,Food Products Mfg.--Frozen,,,,,No,
53376,,No,Food Products Mfg.--Not Dry--In Glass Containers,,,,,No,
53377,,No,Food Products Mfg.--Not Dry--In Other Than Glass Containers,,,,,No,
53403,,No,Forging Work,,,,,No,
53425,,No,Foundries,,,,,No,
53565,,No,Fruit or Vegetable Juice Mfg.--No Bottling of Carbonated Beverages,,,,,No,
53631,,No,Fur Garment Mfg.,,,,,No,
53632,,No,Fur or Pelt Processing,,,,,No,
53731,,No,Furniture Mfg. or Assembling--Infants,,,,,No,
53732,,No,Furniture Mfg. or Assembling--Other Than Wood,,,,,No,
53733,,No,Furniture Mfg. or Assembling--Wood,,,,,No,
53734,,No,"Furniture or Woodwork Stripping, Refinishing or Repairing--Shop Only",,,,,No,
53803,,No,Galvanizing or Tinning,,,,,No,
53901,,No,"Gas Mfg.--Toxic and Either Flammable, Explosive or Reactive",,,,,No,
53902,,No,Gas Mfg.--Inert,,,,,No,
53903,,No,Gas Mfg.--Other,,,,,No,
53904,,No,"Gas Mfg.--Primarily Flammable, Explosive or Reactive",,,,,No,
53905,,No,Gas Mfg.--Primarily Toxic or Presenting a Health Hazard,,,,,No,
53907,,No,Gasoline Distributors,,,,,No,
54012,,No,Gemstone Cutting or Polishing,,,,,No,
54077,,No,Glass or Glassware Mfg.,,,,,No,
54444,,No,Manufacturers,,,,,No,
55010,,No,Heating Equipment Mfg.--Coal or Wood,,,,,No,
55011,,No,Heating Equipment Mfg.--Electric,,,,,No,
55012,,No,Heating Equipment Mfg.--Fuel Oil or Kerosene,,,,,No,
55013,,No,Heating Equipment Mfg.--Gas or Liquefied Petroleum Gas,,,,,No,
55214,,No,"Hone, Oilstone or Whetstone Mfg.",,,,,No,
55371,,No,Honey Extracting,,,,,No,
55410,,No,Importers,,,,,No,
55426,,No,Ink Mfg.,,,,,No,
55597,,No,Inner Tubes Mfg.,,,,,No,
55647,,No,"Instrument Mfg.--Analytical, Calibrating, Measuring, Testing or Recording",,,,,No,
55648,,No,Instrument Mfg.--Control,,,,,No,
55649,,No,Instrument Mfg.,,,,,No,
55715,,No,Insulating Material Mfg.--Mineral,,,,,No,
55716,,No,Insulating Material Mfg.--Organic,,,,,No,
55717,,No,Insulating Material Mfg.--Plastic--for Application in a Solid State,,,,,No,
55718,,No,Insulating Material Mfg.--Plastic,,,,,No,
55802,,No,Jewelry Mfg.,,,,,No,
55918,,No,Ladder Mfg.--Other Than Wood,,,,,No,
55919,,No,Ladder Mfg.--Wood,,,,,No,
56040,,No,Lamp Shade Mfg.,,,,,No,
56041,,No,Lamps or Lanterns Mfg.--Electric,,,,,No,
56042,,No,Lamps or Lanterns Mfg.--Other Than Electric,,,,,No,
56170,,No,Lead Mfg.--Red or White,,,,,No,
56171,,No,"Lead Works--Sheet, Pipe or Shot",,,,,No,
56202,,No,Leather Goods Mfg.,,,,,No,
56390,,No,Light Bulb or Tubes Mfg.,,,,,No,
56391,,No,Lighting Fixtures Mfg.,,,,,No,
56427,,No,Lime Mfg.,,,,,No,
56488,,No,Liquor Mfg.,,,,,No,
56567,,No,Lubricants Mfg.--Grease,,,,,No,
56650,,No,"Machinery or Machinery Parts Mfg.--Construction, Mining or Materials Handling Type",,,,,No,
56651,,No,Machinery or Machinery Parts Mfg.--Farm Type,,,,,No,
56652,,No,Machinery or Machinery Parts Mfg.--Industrial Type,,,,,No,
56653,,No,Machinery or Machinery Parts Mfg.--Metalworking,,,,,No,
56654,,No,Machinery or Machinery Parts Mfg.,,,,,No,
56690,,No,Match Mfg.,,,,,No,
56699,,No,Mattress or Box Spring Mfg.,,,,,No,
56758,,No,"Meat, Fish, Poultry or Seafood--Curing",,,,,No,
56759,,No,"Meat, Fish, Poultry or Seafood Processing--In Airtight Containers",,,,,No,
56760,,No,"Meat, Fish, Poultry or Seafood Processing--Not in Airtight Containers",,,,,No,
56805,,No,"Medical, Dental, Hospital or Surgical Equipment or Supplies Mfg.--Expendable",,,,,No,
56806,,No,"Medical, Dental, Hospital or Surgical Equipment or Supplies Mfg.--Nonexpendable",,,,,No,
56807,,No,"Medical, Dental, Hospital or Surgical Instruments Mfg.",,,,,No,
56808,,No,"Medical, Dental or Surgical Diagnostic or Treatment Machines or Devices Mfg.",,,,,No,
56900,,No,Metals--Extraction or Refining,,,,,No,
56910,,No,Metal Foil Mfg.,,,,,No,
56911,,No,Metal Goods Mfg.,,,,,No,
56912,,No,Metal Goods Mfg.--Stamping--Not Signs,,,,,No,
56913,,No,Metal Heat Processing,,,,,No,
56915,,No,Metal Works--Shop--Structural--Load Bearing,,,,,No,
56916,,No,Metal Works--Shop--Structural--Not Load Bearing,,,,,No,
56917,,No,Metals--Extraction or Refining--Chemical Processes,,,,,No,
56918,,No,Metals--Extraction or Refining--Electrometallurgical Processes,,,,,No,
56919,,No,Metals--Extraction or Refining of Ferrous Metals--Blast Furnace or Other Pyrometallurgical Processes,,,,,No,
56920,,No,Metals--Extraction or Refining of Nonferrous Metals--Blast Furnace or Other Pyrometallurgical Processes,,,,,No,
56980,,No,Mica Goods Mfg.,,,,,No,
57001,,No,Milk Depots or Dealers,,,,,No,
57002,,No,Milk Processing,,,,,No,
57090,,No,Mobile Home Mfg.,,,,,No,
57146,,No,Modular Units Mfg.,,,,,No,
57202,,No,"Motorcycle, Moped or Motor Scooter Mfg.",,,,,No,
57257,,No,Musical Instrument Mfg.,,,,,No,
57401,,No,Nails or Spikes Mfg.,,,,,No,
57403,,No,"Needles, Pins or Tacks Mfg.",,,,,No,
57410,,No,Net Mfg.--Other Than Safety Nets,,,,,No,
57411,,No,Net Mfg.--Safety Nets,,,,,No,
57572,,No,Office Machines Mfg.,,,,,No,
57600,,No,Optical Goods Mfg.,,,,,No,
57611,,No,Ore Milling or Processing,,,,,No,
57625,,No,"Orthopedic, Ambulation or Prosthetic Devices Mfg.",,,,,No,
57651,,No,Packing Houses,,,,,No,
57690,,No,"Paint, Varnish, Shellac or Lacquer Mfg.",,,,,No,
57716,,No,Paper Coating or Finishing,,,,,No,
57725,,No,Paper Goods Mfg.,,,,,No,
57726,,No,Paper Mfg.,,,,,No,
57798,,No,Parachute Mfg.,,,,,No,
57800,,No,Media Mfg.--Blank,,,,,No,
57808,,No,Pattern Mfg.--Metal,,,,,No,
57809,,No,Pattern Mfg.--Other,,,,,No,
57810,,No,Pattern Mfg.--Paper,,,,,No,
57871,,No,"Pencil, Pen, Crayon or Chalk Mfg.",,,,,No,
57913,,No,Pet Food Mfg.,,,,,No,
57997,,No,Photo Finishing Laboratories,,,,,No,
57998,,No,Photographic Equipment Mfg.,,,,,No,
57999,,No,Photographic Supplies Mfg.,,,,,No,
58009,,No,Pipes or Tubes Mfg.--Metal,,,,,No,
58010,,No,Pipes or Tubes Mfg.--Plastic,,,,,No,
58020,,No,Pipes Mfg.--Tobacco,,,,,No,
58056,,No,Plastic Mfg.--Raw Material,,,,,No,
58057,,No,Plastic or Rubber Goods Mfg.--Household,,,,,No,
58058,,No,Plastic or Rubber Goods Mfg.--Other Than Household,,,,,No,
58095,,No,Plumbing Fixtures Mfg.,,,,,No,
58096,,No,Plumbing Supplies Mfg.,,,,,No,
58301,,No,"Plywood, Veneer or Veneer Products Mfg.--Other",,,,,No,
58302,,No,"Plywood, Veneer or Veneer Products Mfg.--without Log Processing",,,,,No,
58397,,No,Prefabricated Building Mfg.,,,,,No,
58408,,No,Printing--Other Than Not-For-Profit,,,,,No,
58409,,No,Printing--Not-For-Profit Only,,,,,No,
58456,,No,Publishers--Books or Magazines--Other Than Not-For-Profit,,,,,No,
58457,,No,Publishers--Books or Magazines--Not-For-Profit Only,,,,,No,
58458,,No,Publishers--Newspapers--Other Than Not-For-Profit,,,,,No,
58459,,No,Publishers--Newspapers--Not-For-Profit Only,,,,,No,
58503,,No,Pulp Mfg.,,,,,No,
58532,,No,Pumps or Compressors Mfg.,,,,,No,
58559,,No,Railroad Engine Mfg.,,,,,No,
58560,,No,Railroad or Other Public Conveyance Cars Mfg.,,,,,No,
58561,,No,Railroad or Other Public Conveyance Cars Parts Mfg.,,,,,No,
58575,,No,Razor or Razor Blades Mfg.,,,,,No,
58627,,No,Media Mfg.--Pre-Recorded,,,,,No,
58663,,No,Refrigeration Equipment Mfg.,,,,,No,
58682,,No,Rendering Works,,,,,No,
58713,,No,Rolling Mills--Cold or Hot Process,,,,,No,
58737,,No,Rope Mfg.,,,,,No,
58756,,No,Rubber Mfg.,,,,,No,
58757,,No,Rubber Reclaiming,,,,,No,
58759,,No,Rubber Stamp Mfg. or Assembling,,,,,No,
58802,,No,"Saddles, Harnesses or Horses Furnishings Mfg.",,,,,No,
58813,,No,Safes or Safe Vaults Mfg.,,,,,No,
58822,,No,Sail Making,,,,,No,
58837,,No,"Salt, Borax, Potash or Phosphate--Producing or Refining",,,,,No,
58840,,No,Salt Mfg.,,,,,No,
58873,,No,Saw Mills or Planing Mills,,,,,No,
58903,,No,Sewing Machines Mfg.--Commercial,,,,,No,
58904,,No,Sewing Machines Mfg.--Household,,,,,No,
58922,,No,Sheet Metal Work--Shop Only,,,,,No,
59005,,No,"Shoe, Boot or Slipper Mfg.",,,,,No,
59057,,No,Sign Mfg.--Electrical,,,,,No,
59058,,No,Sign Mfg.--Other Than Electrical,,,,,No,
59188,,No,Slate Milling,,,,,No,
59189,,No,Slate Splitting or Slate Roofing Mfg.,,,,,No,
59223,,No,Soap Mfg.,,,,,No,
59257,,No,Sponge Processing,,,,,No,
59306,,No,Sporting Goods or Athletic Equipment Mfg.,,,,,No,
59378,,No,Steel Wool or Wire Wool Mfg.,,,,,No,
59481,,No,Stone Crushing,,,,,No,
59482,,No,Stone Cutting or Polishing,,,,,No,
59537,,No,Sugar Refining,,,,,No,
59601,,No,Swimming Pools or Accessories Mfg.,,,,,No,
59647,,No,"Syrups or Molasses--Refining, Blending or Mfg.",,,,,No,
59660,,No,Tank Building or Mfg.--Metal--Not Pressurized,,,,,No,
59661,,No,Tank Building or Mfg.--Metal--Pressurized,,,,,No,
59693,,No,Tanning--Animal Hides,,,,,No,
59695,,No,Telecommunication Equipment Mfg.,,,,,No,
59701,,No,Television Picture Tube Mfg.,,,,,No,
59713,,No,Tent or Canopy Mfg.,,,,,No,
