SIC Code,Level 3 Term,Mapped NAICS,SIC Description,Source,Subcategory,Subcategory 2
5082,5082 - WHOLESALE-CONSTRUCTION & MINING (NO PETRO) MACHINERY & EQUIP,,WHOLESALE-CONSTRUCTION & MINING (NO PETRO) MACHINERY & EQUIP,Standard Industrial Classification Codes,Wholesale Trade,Durable Goods
5084,5084 - WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT,,WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT,Standard Industrial Classification Codes,Wholesale Trade,Durable Goods
5090,5090 - WHOLESALE-MISC DURABLE GOODS,,WHOLESALE-MISC DURABLE GOODS,Standard Industrial Classification Codes,Wholesale Trade,Durable Goods
5094,"5094 - WHOLESALE-JEWELRY, WATCHES, PRECIOUS STONES & METALS",,"WHOLESALE-JEWELRY, WATCHES, PRECIOUS STONES & METALS",Standard Industrial Classification Codes,Wholesale Trade,Durable Goods
5099,"5099 - WHOLESALE-DURABLE GOODS, NEC",,"WHOLESALE-DURABLE GOODS, NEC",Standard Industrial Classification Codes,Wholesale Trade,Durable Goods
5110,5110 - WHOLESALE-PAPER & PAPER PRODUCTS,,WHOLESALE-PAPER & PAPER PRODUCTS,Standard Industrial Classification Codes,Wholesale Trade,Nondurable Goods
5122,"5122 - WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",,"WHOLESALE-DRUGS, PROPRIETARIES & DRUGGISTS' SUNDRIES",Standard Industrial Classification Codes,Wholesale Trade,Nondurable Goods
5130,"5130 - WHOLESALE-APPAREL, PIECE GOODS & NOTIONS",,"WHOLESALE-APPAREL, PIECE GOODS & NOTIONS",Standard Industrial Classification Codes,Wholesale Trade,Nondurable Goods
5140,5140 - WHOLESALE-GROCERIES & RELATED PRODUCTS,,WHOLESALE-GROCERIES & RELATED PRODUCTS,Standard Industrial Classification Codes,Wholesale Trade,Nondurable Goods
5141,"5141 - WHOLESALE-GROCERIES, GENERAL LINE",,"WHOLESALE-GROCERIES, GENERAL LINE",Standard Industrial Classification Codes,Wholesale Trade,Nondurable Goods
5150,5150 - WHOLESALE-FARM PRODUCT RAW MATERIALS,,WHOLESALE-FARM PRODUCT RAW MATERIALS,Standard Industrial Classification Codes,Wholesale Trade,Nondurable Goods
5160,5160 - WHOLESALE-CHEMICALS & ALLIED PRODUCTS,,WHOLESALE-CHEMICALS & ALLIED PRODUCTS,Standard Industrial Classification Codes,Wholesale Trade,Nondurable Goods
5171,5171 - WHOLESALE-PETROLEUM BULK STATIONS & TERMINALS,,WHOLESALE-PETROLEUM BULK STATIONS & TERMINALS,Standard Industrial Classification Codes,Wholesale Trade,Nondurable Goods
5172,5172 - WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS),,WHOLESALE-PETROLEUM & PETROLEUM PRODUCTS (NO BULK STATIONS),Standard Industrial Classification Codes,Wholesale Trade,Nondurable Goods
5180,"5180 - WHOLESALE-BEER, WINE & DISTILLED ALCOHOLIC BEVERAGES",,"WHOLESALE-BEER, WINE & DISTILLED ALCOHOLIC BEVERAGES",Standard Industrial Classification Codes,Wholesale Trade,Nondurable Goods
5190,5190 - WHOLESALE-MISCELLANEOUS NONDURABLE GOODS,,WHOLESALE-MISCELLANEOUS NONDURABLE GOODS,Standard Industrial Classification Codes,Wholesale Trade,Nondurable Goods
5200,"5200 - RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY",,"RETAIL-BUILDING MATERIALS, HARDWARE, GARDEN SUPPLY",Standard Industrial Classification Codes,Retail Trade,Building Materials & Garden
5211,5211 - RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,,RETAIL-LUMBER & OTHER BUILDING MATERIALS DEALERS,Standard Industrial Classification Codes,Retail Trade,Building Materials & Garden
5271,5271 - RETAIL-MOBILE HOME DEALERS,,RETAIL-MOBILE HOME DEALERS,Standard Industrial Classification Codes,Retail Trade,Building Materials & Garden
5311,5311 - RETAIL-DEPARTMENT STORES,,RETAIL-DEPARTMENT STORES,Standard Industrial Classification Codes,Retail Trade,General Merchandise
5331,5331 - RETAIL-VARIETY STORES,,RETAIL-VARIETY STORES,Standard Industrial Classification Codes,Retail Trade,General Merchandise
5399,5399 - RETAIL-MISC GENERAL MERCHANDISE STORES,,RETAIL-MISC GENERAL MERCHANDISE STORES,Standard Industrial Classification Codes,Retail Trade,General Merchandise
5400,5400 - RETAIL-FOOD STORES,,RETAIL-FOOD STORES,Standard Industrial Classification Codes,Retail Trade,Food Stores
5411,5411 - RETAIL-GROCERY STORES,,RETAIL-GROCERY STORES,Standard Industrial Classification Codes,Retail Trade,Food Stores
5412,5412 - RETAIL-CONVENIENCE STORES,,RETAIL-CONVENIENCE STORES,Standard Industrial Classification Codes,Retail Trade,Food Stores
5500,5500 - RETAIL-AUTO DEALERS & GASOLINE STATIONS,,RETAIL-AUTO DEALERS & GASOLINE STATIONS,Standard Industrial Classification Codes,Retail Trade,Automotive & Gas Stations
5531,5531 - RETAIL-AUTO & HOME SUPPLY STORES,,RETAIL-AUTO & HOME SUPPLY STORES,Standard Industrial Classification Codes,Retail Trade,Automotive & Gas Stations
5600,5600 - RETAIL-APPAREL & ACCESSORY STORES,,RETAIL-APPAREL & ACCESSORY STORES,Standard Industrial Classification Codes,Retail Trade,Apparel & Accessories
5621,5621 - RETAIL-WOMEN'S CLOTHING STORES,,RETAIL-WOMEN'S CLOTHING STORES,Standard Industrial Classification Codes,Retail Trade,Apparel & Accessories
5651,5651 - RETAIL-FAMILY CLOTHING STORES,,RETAIL-FAMILY CLOTHING STORES,Standard Industrial Classification Codes,Retail Trade,Apparel & Accessories
5661,5661 - RETAIL-SHOE STORES,,RETAIL-SHOE STORES,Standard Industrial Classification Codes,Retail Trade,Apparel & Accessories
5700,"5700 - RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES",,"RETAIL-HOME FURNITURE, FURNISHINGS & EQUIPMENT STORES",Standard Industrial Classification Codes,Retail Trade,Home Furnishings
5712,5712 - RETAIL-FURNITURE STORES,,RETAIL-FURNITURE STORES,Standard Industrial Classification Codes,Retail Trade,Home Furnishings
5731,"5731 - RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES",,"RETAIL-RADIO, TV & CONSUMER ELECTRONICS STORES",Standard Industrial Classification Codes,Retail Trade,Home Furnishings
5734,5734 - RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,,RETAIL-COMPUTER & COMPUTER SOFTWARE STORES,Standard Industrial Classification Codes,Retail Trade,Home Furnishings
5735,5735 - RETAIL-RECORD & PRERECORDED TAPE STORES,,RETAIL-RECORD & PRERECORDED TAPE STORES,Standard Industrial Classification Codes,Retail Trade,Home Furnishings
5810,5810 - RETAIL-EATING & DRINKING PLACES,,RETAIL-EATING & DRINKING PLACES,Standard Industrial Classification Codes,Retail Trade,Eating & Drinking Places
5812,5812 - RETAIL-EATING PLACES,,RETAIL-EATING PLACES,Standard Industrial Classification Codes,Retail Trade,Eating & Drinking Places
5900,5900 - RETAIL-MISCELLANEOUS RETAIL,,RETAIL-MISCELLANEOUS RETAIL,Standard Industrial Classification Codes,Retail Trade,Miscellaneous Retail
5912,5912 - RETAIL-DRUG STORES AND PROPRIETARY STORES,,RETAIL-DRUG STORES AND PROPRIETARY STORES,Standard Industrial Classification Codes,Retail Trade,Miscellaneous Retail
5940,5940 - RETAIL-MISCELLANEOUS SHOPPING GOODS STORES,,RETAIL-MISCELLANEOUS SHOPPING GOODS STORES,Standard Industrial Classification Codes,Retail Trade,Miscellaneous Retail
5944,5944 - RETAIL-JEWELRY STORES,,RETAIL-JEWELRY STORES,Standard Industrial Classification Codes,Retail Trade,Miscellaneous Retail
5945,"5945 - RETAIL-HOBBY, TOY & GAME SHOPS",,"RETAIL-HOBBY, TOY & GAME SHOPS",Standard Industrial Classification Codes,Retail Trade,Miscellaneous Retail
5960,5960 - RETAIL-NONSTORE RETAILERS,,RETAIL-NONSTORE RETAILERS,Standard Industrial Classification Codes,Retail Trade,Miscellaneous Retail
5961,5961 - RETAIL-CATALOG & MAIL-ORDER HOUSES,,RETAIL-CATALOG & MAIL-ORDER HOUSES,Standard Industrial Classification Codes,Retail Trade,Miscellaneous Retail
5990,"5990 - RETAIL-RETAIL STORES, NEC",,"RETAIL-RETAIL STORES, NEC",Standard Industrial Classification Codes,Retail Trade,Miscellaneous Retail
6021,6021 - NATIONAL COMMERCIAL BANKS,,NATIONAL COMMERCIAL BANKS,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Banking
6022,6022 - STATE COMMERCIAL BANKS,,STATE COMMERCIAL BANKS,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Banking
6029,"6029 - COMMERCIAL BANKS, NEC",,"COMMERCIAL BANKS, NEC",Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Banking
6035,"6035 - SAVINGS INSTITUTION, FEDERALLY CHARTERED",,"SAVINGS INSTITUTION, FEDERALLY CHARTERED",Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Banking
6036,"6036 - SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",,"SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED",Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Banking
6099,"6099 - FUNCTIONS RELATED TO DEPOSITORY BANKING, NEC",,"FUNCTIONS RELATED TO DEPOSITORY BANKING, NEC",Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Banking
6111,6111 - FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES,,FEDERAL & FEDERALLY-SPONSORED CREDIT AGENCIES,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Banking
6141,6141 - PERSONAL CREDIT INSTITUTIONS,,PERSONAL CREDIT INSTITUTIONS,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Banking
6153,6153 - SHORT-TERM BUSINESS CREDIT INSTITUTIONS,,SHORT-TERM BUSINESS CREDIT INSTITUTIONS,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Banking
6159,6159 - MISCELLANEOUS BUSINESS CREDIT INSTITUTION,,MISCELLANEOUS BUSINESS CREDIT INSTITUTION,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Banking
6162,6162 - MORTGAGE BANKERS & LOAN CORRESPONDENTS,,MORTGAGE BANKERS & LOAN CORRESPONDENTS,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Banking
6163,6163 - LOAN BROKERS,,LOAN BROKERS,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Banking
6172,6172 - FINANCE LESSORS,,FINANCE LESSORS,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Banking
6189,6189 - ASSET-BACKED SECURITIES,,ASSET-BACKED SECURITIES,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Banking
6199,6199 - FINANCE SERVICES,,FINANCE SERVICES,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Banking
6200,"6200 - SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES",,"SECURITY & COMMODITY BROKERS, DEALERS, EXCHANGES & SERVICES",Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Credit Agencies
6211,"6211 - SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",,"SECURITY BROKERS, DEALERS & FLOTATION COMPANIES",Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Credit Agencies
6221,6221 - COMMODITY CONTRACTS BROKERS & DEALERS,,COMMODITY CONTRACTS BROKERS & DEALERS,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Credit Agencies
6282,6282 - INVESTMENT ADVICE,,INVESTMENT ADVICE,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Credit Agencies
6311,6311 - LIFE INSURANCE,,LIFE INSURANCE,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Securities & Commodities
6321,6321 - ACCIDENT & HEALTH INSURANCE,,ACCIDENT & HEALTH INSURANCE,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Securities & Commodities
6324,6324 - HOSPITAL & MEDICAL SERVICE PLANS,,HOSPITAL & MEDICAL SERVICE PLANS,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Securities & Commodities
6331,"6331 - FIRE, MARINE & CASUALTY INSURANCE",,"FIRE, MARINE & CASUALTY INSURANCE",Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Securities & Commodities
6351,6351 - SURETY INSURANCE,,SURETY INSURANCE,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Securities & Commodities
6361,6361 - TITLE INSURANCE,,TITLE INSURANCE,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Securities & Commodities
6399,"6399 - INSURANCE CARRIERS, NEC",,"INSURANCE CARRIERS, NEC",Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Securities & Commodities
6411,"6411 - INSURANCE AGENTS, BROKERS & SERVICE",,"INSURANCE AGENTS, BROKERS & SERVICE",Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Insurance
6500,6500 - REAL ESTATE,,REAL ESTATE,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Real Estate
6510,6510 - REAL ESTATE OPERATORS (NO DEVELOPERS) & LESSORS,,REAL ESTATE OPERATORS (NO DEVELOPERS) & LESSORS,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Real Estate
6512,6512 - OPERATORS OF NONRESIDENTIAL BUILDINGS,,OPERATORS OF NONRESIDENTIAL BUILDINGS,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Real Estate
6513,6513 - OPERATORS OF APARTMENT BUILDINGS,,OPERATORS OF APARTMENT BUILDINGS,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Real Estate
6519,"6519 - LESSORS OF REAL PROPERTY, NEC",,"LESSORS OF REAL PROPERTY, NEC",Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Real Estate
6531,6531 - REAL ESTATE AGENTS & MANAGERS (FOR OTHERS),,REAL ESTATE AGENTS & MANAGERS (FOR OTHERS),Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Real Estate
6532,6532 - REAL ESTATE DEALERS (FOR THEIR OWN ACCOUNT),,REAL ESTATE DEALERS (FOR THEIR OWN ACCOUNT),Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Real Estate
6552,6552 - LAND SUBDIVIDERS & DEVELOPERS (NO CEMETERIES),,LAND SUBDIVIDERS & DEVELOPERS (NO CEMETERIES),Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Real Estate
6770,6770 - BLANK CHECKS,,BLANK CHECKS,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Real Estate
6792,6792 - OIL ROYALTY TRADERS,,OIL ROYALTY TRADERS,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Real Estate
6794,6794 - PATENT OWNERS & LESSORS,,PATENT OWNERS & LESSORS,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Real Estate
6795,6795 - MINERAL ROYALTY TRADERS,,MINERAL ROYALTY TRADERS,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Real Estate
6798,6798 - REAL ESTATE INVESTMENT TRUSTS,,REAL ESTATE INVESTMENT TRUSTS,Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Real Estate
6799,"6799 - INVESTORS, NEC",,"INVESTORS, NEC",Standard Industrial Classification Codes,"Finance, Insurance & Real Estate",Real Estate
7000,"7000 - HOTELS, ROOMING HOUSES, CAMPS & OTHER LODGING PLACES",,"HOTELS, ROOMING HOUSES, CAMPS & OTHER LODGING PLACES",Standard Industrial Classification Codes,Services,Hotels & Lodging
7011,7011 - HOTELS & MOTELS,,HOTELS & MOTELS,Standard Industrial Classification Codes,Services,Hotels & Lodging
7200,7200 - SERVICES-PERSONAL SERVICES,,SERVICES-PERSONAL SERVICES,Standard Industrial Classification Codes,Services,Personal Services
7310,7310 - SERVICES-ADVERTISING,,SERVICES-ADVERTISING,Standard Industrial Classification Codes,Services,Business Services
7311,7311 - SERVICES-ADVERTISING AGENCIES,,SERVICES-ADVERTISING AGENCIES,Standard Industrial Classification Codes,Services,Business Services
7320,"7320 - SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",,"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",Standard Industrial Classification Codes,Services,Business Services
7330,"7330 - SERVICES-MAILING, REPRODUCTION, COMMERCIAL ART & PHOTOGRAPHY",,"SERVICES-MAILING, REPRODUCTION, COMMERCIAL ART & PHOTOGRAPHY",Standard Industrial Classification Codes,Services,Business Services
7331,7331 - SERVICES-DIRECT MAIL ADVERTISING SERVICES,,SERVICES-DIRECT MAIL ADVERTISING SERVICES,Standard Industrial Classification Codes,Services,Business Services
7340,7340 - SERVICES-TO DWELLINGS & OTHER BUILDINGS,,SERVICES-TO DWELLINGS & OTHER BUILDINGS,Standard Industrial Classification Codes,Services,Business Services
7350,7350 - SERVICES-MISCELLANEOUS EQUIPMENT RENTAL & LEASING,,SERVICES-MISCELLANEOUS EQUIPMENT RENTAL & LEASING,Standard Industrial Classification Codes,Services,Business Services
7359,"7359 - SERVICES-EQUIPMENT RENTAL & LEASING, NEC",,"SERVICES-EQUIPMENT RENTAL & LEASING, NEC",Standard Industrial Classification Codes,Services,Business Services
7361,7361 - SERVICES-EMPLOYMENT AGENCIES,,SERVICES-EMPLOYMENT AGENCIES,Standard Industrial Classification Codes,Services,Business Services
7363,7363 - SERVICES-HELP SUPPLY SERVICES,,SERVICES-HELP SUPPLY SERVICES,Standard Industrial Classification Codes,Services,Business Services
7370,"7370 - SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",,"SERVICES-COMPUTER PROGRAMMING, DATA PROCESSING, ETC.",Standard Industrial Classification Codes,Services,Business Services
7371,7371 - SERVICES-COMPUTER PROGRAMMING SERVICES,,SERVICES-COMPUTER PROGRAMMING SERVICES,Standard Industrial Classification Codes,Services,Business Services
7372,7372 - SERVICES-PREPACKAGED SOFTWARE,,SERVICES-PREPACKAGED SOFTWARE,Standard Industrial Classification Codes,Services,Business Services
7373,7373 - SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,,SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,Standard Industrial Classification Codes,Services,Business Services
7374,7374 - SERVICES-COMPUTER PROCESSING & DATA PREPARATION,,SERVICES-COMPUTER PROCESSING & DATA PREPARATION,Standard Industrial Classification Codes,Services,Business Services
7377,7377 - SERVICES-COMPUTER RENTAL & LEASING,,SERVICES-COMPUTER RENTAL & LEASING,Standard Industrial Classification Codes,Services,Business Services
7380,7380 - SERVICES-MISCELLANEOUS BUSINESS SERVICES,,SERVICES-MISCELLANEOUS BUSINESS SERVICES,Standard Industrial Classification Codes,Services,Business Services
7381,"7381 - SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES",,"SERVICES-DETECTIVE, GUARD & ARMORED CAR SERVICES",Standard Industrial Classification Codes,Services,Business Services
7384,7384 - SERVICES-PHOTOFINISHING LABORATORIES,,SERVICES-PHOTOFINISHING LABORATORIES,Standard Industrial Classification Codes,Services,Business Services
7385,7385 - SERVICES-TELEPHONE INTERCONNECT SYSTEMS,,SERVICES-TELEPHONE INTERCONNECT SYSTEMS,Standard Industrial Classification Codes,Services,Business Services
7389,"7389 - SERVICES-BUSINESS SERVICES, NEC",,"SERVICES-BUSINESS SERVICES, NEC",Standard Industrial Classification Codes,Services,Business Services
7500,"7500 - SERVICES-AUTOMOTIVE REPAIR, SERVICES & PARKING",,"SERVICES-AUTOMOTIVE REPAIR, SERVICES & PARKING",Standard Industrial Classification Codes,Services,Auto Services
7510,7510 - SERVICES-AUTO RENTAL & LEASING (NO DRIVERS),,SERVICES-AUTO RENTAL & LEASING (NO DRIVERS),Standard Industrial Classification Codes,Services,Auto Services
7600,7600 - SERVICES-MISCELLANEOUS REPAIR SERVICES,,SERVICES-MISCELLANEOUS REPAIR SERVICES,Standard Industrial Classification Codes,Services,Miscellaneous Repair Services
7812,7812 - SERVICES-MOTION PICTURE & VIDEO TAPE PRODUCTION,,SERVICES-MOTION PICTURE & VIDEO TAPE PRODUCTION,Standard Industrial Classification Codes,Services,Motion Pictures & Entertainment
7819,7819 - SERVICES-ALLIED TO MOTION PICTURE PRODUCTION,,SERVICES-ALLIED TO MOTION PICTURE PRODUCTION,Standard Industrial Classification Codes,Services,Motion Pictures & Entertainment
7822,7822 - SERVICES-MOTION PICTURE & VIDEO TAPE DISTRIBUTION,,SERVICES-MOTION PICTURE & VIDEO TAPE DISTRIBUTION,Standard Industrial Classification Codes,Services,Motion Pictures & Entertainment
7829,7829 - SERVICES-ALLIED TO MOTION PICTURE DISTRIBUTION,,SERVICES-ALLIED TO MOTION PICTURE DISTRIBUTION,Standard Industrial Classification Codes,Services,Motion Pictures & Entertainment
7830,7830 - SERVICES-MOTION PICTURE THEATERS,,SERVICES-MOTION PICTURE THEATERS,Standard Industrial Classification Codes,Services,Motion Pictures & Entertainment
7841,7841 - SERVICES-VIDEO TAPE RENTAL,,SERVICES-VIDEO TAPE RENTAL,Standard Industrial Classification Codes,Services,Motion Pictures & Entertainment
7900,7900 - SERVICES-AMUSEMENT & RECREATION SERVICES,,SERVICES-AMUSEMENT & RECREATION SERVICES,Standard Industrial Classification Codes,Services,Motion Pictures & Entertainment
7948,"7948 - SERVICES-RACING, INCLUDING TRACK OPERATION",,"SERVICES-RACING, INCLUDING TRACK OPERATION",Standard Industrial Classification Codes,Services,Motion Pictures & Entertainment
7990,7990 - SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,Standard Industrial Classification Codes,Services,Motion Pictures & Entertainment
7997,7997 - SERVICES-MEMBERSHIP SPORTS & RECREATION CLUBS,,SERVICES-MEMBERSHIP SPORTS & RECREATION CLUBS,Standard Industrial Classification Codes,Services,Motion Pictures & Entertainment
8000,8000 - SERVICES-HEALTH SERVICES,,SERVICES-HEALTH SERVICES,Standard Industrial Classification Codes,Services,Health Services
8011,8011 - SERVICES-OFFICES & CLINICS OF DOCTORS OF MEDICINE,,SERVICES-OFFICES & CLINICS OF DOCTORS OF MEDICINE,Standard Industrial Classification Codes,Services,Health Services
8050,8050 - SERVICES-NURSING & PERSONAL CARE FACILITIES,,SERVICES-NURSING & PERSONAL CARE FACILITIES,Standard Industrial Classification Codes,Services,Health Services
8051,8051 - SERVICES-SKILLED NURSING CARE FACILITIES,,SERVICES-SKILLED NURSING CARE FACILITIES,Standard Industrial Classification Codes,Services,Health Services
8060,8060 - SERVICES-HOSPITALS,,SERVICES-HOSPITALS,Standard Industrial Classification Codes,Services,Health Services
8062,"8062 - SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC",,"SERVICES-GENERAL MEDICAL & SURGICAL HOSPITALS, NEC",Standard Industrial Classification Codes,Services,Health Services
8071,8071 - SERVICES-MEDICAL LABORATORIES,,SERVICES-MEDICAL LABORATORIES,Standard Industrial Classification Codes,Services,Health Services
8082,8082 - SERVICES-HOME HEALTH CARE SERVICES,,SERVICES-HOME HEALTH CARE SERVICES,Standard Industrial Classification Codes,Services,Health Services
8090,"8090 - SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC",Standard Industrial Classification Codes,Services,Health Services
8093,"8093 - SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC",,"SERVICES-SPECIALTY OUTPATIENT FACILITIES, NEC",Standard Industrial Classification Codes,Services,Health Services
8111,8111 - SERVICES-LEGAL SERVICES,,SERVICES-LEGAL SERVICES,Standard Industrial Classification Codes,Services,Legal Services
8200,8200 - SERVICES-EDUCATIONAL SERVICES,,SERVICES-EDUCATIONAL SERVICES,Standard Industrial Classification Codes,Services,Educational Services
8300,8300 - SERVICES-SOCIAL SERVICES,,SERVICES-SOCIAL SERVICES,Standard Industrial Classification Codes,Services,Social Services
8351,8351 - SERVICES-CHILD DAY CARE SERVICES,,SERVICES-CHILD DAY CARE SERVICES,Standard Industrial Classification Codes,Services,Social Services
8600,8600 - SERVICES-MEMBERSHIP ORGANIZATIONS,,SERVICES-MEMBERSHIP ORGANIZATIONS,Standard Industrial Classification Codes,Services,Museums & Organizations
8700,"8700 - SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT",,"SERVICES-ENGINEERING, ACCOUNTING, RESEARCH, MANAGEMENT",Standard Industrial Classification Codes,Services,Engineering & Management
8711,8711 - SERVICES-ENGINEERING SERVICES,,SERVICES-ENGINEERING SERVICES,Standard Industrial Classification Codes,Services,Engineering & Management
8731,8731 - SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,,SERVICES-COMMERCIAL PHYSICAL & BIOLOGICAL RESEARCH,Standard Industrial Classification Codes,Services,Engineering & Management
8734,8734 - SERVICES-TESTING LABORATORIES,,SERVICES-TESTING LABORATORIES,Standard Industrial Classification Codes,Services,Engineering & Management
8741,8741 - SERVICES-MANAGEMENT SERVICES,,SERVICES-MANAGEMENT SERVICES,Standard Industrial Classification Codes,Services,Engineering & Management
8742,8742 - SERVICES-MANAGEMENT CONSULTING SERVICES,,SERVICES-MANAGEMENT CONSULTING SERVICES,Standard Industrial Classification Codes,Services,Engineering & Management
8744,8744 - SERVICES-FACILITIES SUPPORT MANAGEMENT SERVICES,,SERVICES-FACILITIES SUPPORT MANAGEMENT SERVICES,Standard Industrial Classification Codes,Services,Engineering & Management
8880,8880 - AMERICAN DEPOSITARY RECEIPTS,,AMERICAN DEPOSITARY RECEIPTS,Standard Industrial Classification Codes,Services,Engineering & Management
8888,8888 - FOREIGN GOVERNMENTS,,FOREIGN GOVERNMENTS,Standard Industrial Classification Codes,Services,Engineering & Management
8900,"8900 - SERVICES-SERVICES, NEC",,"SERVICES-SERVICES, NEC",Standard Industrial Classification Codes,Services,Engineering & Management
9721,9721 - INTERNATIONAL AFFAIRS,,INTERNATIONAL AFFAIRS,Standard Industrial Classification Codes,Public Administration,National Security
9995,9995 - NON-OPERATING ESTABLISHMENTS,,NON-OPERATING ESTABLISHMENTS,Standard Industrial Classification Codes,Public Administration,National Security